0	14	31	18	12	26	17	36	1	16	19	42	46	29	42	42	29	34	46	44	12	36	17	39	23
14	0	47	49	9	22	31	43	5	3	40	43	28	17	7	20	35	26	50	21	1	33	21	29	30
31	47	0	18	42	50	19	15	49	10	40	19	30	23	4	31	22	11	26	6	10	28	28	38	35
18	49	18	0	39	41	38	37	33	37	34	30	8	36	5	41	42	29	14	23	8	11	3	33	36
12	9	42	39	0	25	21	7	12	37	7	44	45	45	9	45	37	7	6	16	14	39	28	7	33
26	22	50	41	25	0	25	42	21	44	2	47	23	37	17	47	19	34	26	21	9	12	14	26	37
17	31	19	38	21	25	0	7	7	30	28	34	11	1	16	10	23	30	30	42	7	19	13	18	19
36	43	15	37	7	42	7	0	14	4	16	11	45	34	1	13	20	3	39	21	30	45	13	5	30
1	5	49	33	12	21	7	14	0	47	47	33	39	22	27	45	39	3	5	20	46	43	8	8	6
16	3	10	37	37	44	30	4	47	0	50	4	45	22	5	30	37	8	34	19	47	21	48	10	3
19	40	40	34	7	2	28	16	47	50	0	21	15	6	8	26	22	1	26	8	12	16	47	34	49
42	43	19	30	44	47	34	11	33	4	21	0	34	41	32	31	35	22	9	14	25	31	41	22	15
46	28	30	8	45	23	11	45	39	45	15	34	0	17	43	41	48	42	47	5	19	46	37	35	30
29	17	23	36	45	37	1	34	22	22	6	41	17	0	49	27	40	31	30	22	27	46	9	13	49
42	7	4	5	9	17	16	1	27	5	8	32	43	49	0	11	36	27	23	13	14	30	19	1	10
42	20	31	41	45	47	10	13	45	30	26	31	41	27	11	0	6	44	48	15	4	17	10	27	10
29	35	22	42	37	19	23	20	39	37	22	35	48	40	36	6	0	5	33	22	22	43	1	14	18
34	26	11	29	7	34	30	3	3	8	1	22	42	31	27	44	5	0	23	6	9	23	16	48	47
46	50	26	14	6	26	30	39	5	34	26	9	47	30	23	48	33	23	0	25	2	46	35	46	20
44	21	6	23	16	21	42	21	20	19	8	14	5	22	13	15	22	6	25	0	48	2	32	20	14
12	1	10	8	14	9	7	30	46	47	12	25	19	27	14	4	22	9	2	48	0	27	28	2	8
36	33	28	11	39	12	19	45	43	21	16	31	46	46	30	17	43	23	46	2	27	0	22	34	20
17	21	28	3	28	14	13	13	8	48	47	41	37	9	19	10	1	16	35	32	28	22	0	42	19
39	29	38	33	7	26	18	5	8	10	34	22	35	13	1	27	14	48	46	20	2	34	42	0	7
23	30	35	36	33	37	19	30	6	3	49	15	30	49	10	10	18	47	20	14	8	20	19	7	0
