0	969	255	608	459	994	348	397	535	228	553	209	134	415	895	534	550	87	113	316	556	351	760	547	318
969	0	225	192	662	219	150	809	90	499	630	565	31	465	72	110	486	367	785	773	185	686	741	399	815
255	225	0	739	771	106	587	756	112	901	32	641	940	764	243	826	891	370	292	697	213	295	744	416	790
608	192	739	0	351	110	263	378	137	575	615	418	302	819	54	339	799	686	604	126	78	531	106	181	853
459	662	771	351	0	64	45	217	679	846	363	206	296	101	442	294	735	598	965	131	914	833	682	256	506
994	219	106	110	64	0	755	791	496	739	50	948	333	179	14	747	52	790	433	93	707	598	464	21	636
348	150	587	263	45	755	0	950	190	586	490	83	468	360	898	11	73	368	695	8	558	336	213	924	951
397	809	756	378	217	791	950	0	496	247	193	106	649	57	197	49	89	207	759	424	314	300	99	654	444
535	90	112	137	679	496	190	496	0	667	124	143	26	522	94	668	799	87	433	656	167	453	824	933	61
228	499	901	575	846	739	586	247	667	0	206	167	843	336	308	604	944	772	656	723	623	423	176	164	867
553	630	32	615	363	50	490	193	124	206	0	621	560	176	457	527	684	206	110	532	988	360	164	922	632
209	565	641	418	206	948	83	106	143	167	621	0	855	209	102	730	133	389	934	109	171	559	666	795	356
134	31	940	302	296	333	468	649	26	843	560	855	0	906	996	708	723	552	188	632	258	743	895	578	998
415	465	764	819	101	179	360	57	522	336	176	209	906	0	333	782	111	229	267	127	397	425	517	441	225
895	72	243	54	442	14	898	197	94	308	457	102	996	333	0	288	118	642	798	135	74	430	703	258	653
534	110	826	339	294	747	11	49	668	604	527	730	708	782	288	0	641	485	488	99	685	125	154	752	605
550	486	891	799	735	52	73	89	799	944	684	133	723	111	118	641	0	152	769	143	403	25	954	229	388
87	367	370	686	598	790	368	207	87	772	206	389	552	229	642	485	152	0	397	169	983	291	541	65	143
113	785	292	604	965	433	695	759	433	656	110	934	188	267	798	488	769	397	0	197	403	318	680	768	26
316	773	697	126	131	93	8	424	656	723	532	109	632	127	135	99	143	169	197	0	621	654	37	672	422
556	185	213	78	914	707	558	314	167	623	988	171	258	397	74	685	403	983	403	621	0	957	810	716	185
351	686	295	531	833	598	336	300	453	423	360	559	743	425	430	125	25	291	318	654	957	0	749	643	726
760	741	744	106	682	464	213	99	824	176	164	666	895	517	703	154	954	541	680	37	810	749	0	420	371
547	399	416	181	256	21	924	654	933	164	922	795	578	441	258	752	229	65	768	672	716	643	420	0	842
318	815	790	853	506	636	951	444	61	867	632	356	998	225	653	605	388	143	26	422	185	726	371	842	0
